测试点来源（关联设计文档章节）,主测试点（模块核心功能点）,子测试点（主测试点的细分场景）,功能描述（测试点对应的设计行为）,覆盖情况描述（是否覆盖及覆盖方式）,覆盖率分析（未覆盖原因或覆盖达标标准）,对应测试用例
"2 简介：CMU是芯片时钟源模块","TP_CMU_001: 上电默认时钟源选择","TP_CMU_001.01: 上电后默认选择pll_clk作为主时钟hclk输出","CMU上电后CMU_CLK_SEL复位值为1'b0，hclk应输出pll_clk(50MHz)","已覆盖：test_cmu_sanity用例上电后读取CMU_CLK_SEL寄存器验证默认值为0，并测量hclk周期为20ns","覆盖达标标准：寄存器复位值验证通过，hclk频率=50MHz±1%",test_cmu_sanity
"8.1 时钟源选择：双时钟源","TP_CMU_002: 时钟源切换功能","TP_CMU_002.01: 从pll_clk切换到rch_clk","通过AHB写CMU_CLK_SEL[0]=1，CMU启动无毛刺切换流程，hclk切换为16MHz","已覆盖：test_cmu_clk_switch_pll_to_rch用例通过ahb_write配置CLK_SEL=1，读STATUS确认bit[0]=1，测量hclk周期约62.5ns","覆盖达标标准：切换后CMU_STATUS[0]=1，hclk频率=16MHz±1%",test_cmu_clk_switch_pll_to_rch
"8.1 时钟源选择：双时钟源","TP_CMU_002: 时钟源切换功能","TP_CMU_002.02: 从rch_clk切换回pll_clk","在rch_clk模式下写CMU_CLK_SEL[0]=0，CMU切换回pll_clk(50MHz)","已覆盖：test_cmu_clk_switch_rch_to_pll用例通过ahb_write配置CLK_SEL=0，读STATUS确认bit[0]=0，测量hclk周期约20ns","覆盖达标标准：切换后CMU_STATUS[0]=0，hclk频率=50MHz±1%",test_cmu_clk_switch_rch_to_pll
"8.2 无毛刺切换：先关后开策略","TP_CMU_003: 无毛刺时钟切换","TP_CMU_003.01: 切换过程中hclk无毛刺输出","CMU四状态切换(S_IDLE→S_GATE_OFF→S_SWITCH→S_GATE_ON)，切换期间hclk短暂停止但无毛刺","已覆盖：test_cmu_glitch_free用例通过SVA断言检测hclk信号在切换过程中无glitch","覆盖达标标准：切换过程中hclk无宽度小于1ns的脉冲",test_cmu_glitch_free
"8.2 无毛刺切换","TP_CMU_003: 无毛刺时钟切换","TP_CMU_003.02: 切换状态机遍历","验证GATE_OFF→SWITCH→GATE_ON→IDLE全状态转移","已覆盖：test_cmu_state_machine用例通过功能覆盖率收集状态转移覆盖","覆盖达标标准：状态机四个状态覆盖率达100%",test_cmu_state_machine
"9.1 CMU_CLK_SEL寄存器(0x00)","TP_CMU_004: CMU_CLK_SEL寄存器访问","TP_CMU_004.01: 写CMU_CLK_SEL寄存器","通过AHB向0x5000_0000写入值，读回验证写入正确","已覆盖：test_cmu_reg_rw用例通过ahb_write/ahb_read验证寄存器读写","覆盖达标标准：读回值与写入值一致（仅bit[0]有效，bit[31:1]为保留位读回0）",test_cmu_reg_rw
"9.1 CMU_CLK_SEL寄存器","TP_CMU_004: CMU_CLK_SEL寄存器访问","TP_CMU_004.02: 保留位写忽略验证","向CMU_CLK_SEL[31:1]写入随机值，验证不影响时钟选择功能","已覆盖：test_cmu_reg_rw用例随机化AHB写数据bit[31:1]，验证被忽略","覆盖达标标准：bit[31:1]写入后读回为0",test_cmu_reg_rw
"9.3 CMU_STATUS寄存器(0x04)","TP_CMU_005: CMU_STATUS寄存器访问","TP_CMU_005.01: 读CMU_STATUS寄存器","通过AHB读0x5000_0004，bit[0]反映当前时钟源","已覆盖：test_cmu_reg_rw用例通过ahb_read验证STATUS寄存器","覆盖达标标准：STATUS[0]值等于CLK_SEL[0]值",test_cmu_reg_rw
"9.3 CMU_STATUS寄存器","TP_CMU_005: CMU_STATUS寄存器访问","TP_CMU_005.02: STATUS只读属性验证","尝试向STATUS寄存器写数据，验证写入无效","已覆盖：test_cmu_reg_rw用例通过ahb_write写入STATUS地址后读回，验证值未改变","覆盖达标标准：写入操作不影响STATUS寄存器值",test_cmu_reg_rw
"8.1 时钟源选择","TP_CMU_006: 时钟频率精度验证","TP_CMU_006.01: pll_clk模式hclk频率=50MHz","pll_clk选择模式下，测量hclk周期为20ns(50MHz)","已覆盖：test_cmu_freq_accuracy用例通过仿真测量hclk周期计数","覆盖达标标准：hclk周期=20ns±5%",test_cmu_freq_accuracy
"8.1 时钟源选择","TP_CMU_006: 时钟频率精度验证","TP_CMU_006.02: rch_clk模式hclk频率=16MHz","rch_clk选择模式下，测量hclk周期为62.5ns(16MHz)","已覆盖：test_cmu_freq_accuracy用例通过仿真测量hclk周期计数","覆盖达标标准：hclk周期=62.5ns±5%",test_cmu_freq_accuracy
