测试点来源（关联设计文档章节）,主测试点（模块核心功能点）,子测试点（主测试点的细分场景）,功能描述（测试点对应的设计行为）,覆盖情况描述（是否覆盖及覆盖方式）,覆盖率分析（未覆盖原因或覆盖达标标准）,对应测试用例
"2 简介：RMU是芯片的复位控制中枢","TP_RMU_001: 双复位源输入与全局复位生成","TP_RMU_001.01: por_rst_n单独复位","仅por_rst_n拉低时，全局复位sys_rst_n拉低，所有模块复位拉低","已覆盖：test_rmu_por_reset用例拉低por_rst_n，检查所有复位输出为低","覆盖达标标准：por_rst_n=0时所有复位输出为0",test_rmu_por_reset
"2 简介：汇总pin_rst_n和por_rst_n","TP_RMU_001: 双复位源输入与全局复位生成","TP_RMU_001.02: pin_rst_n(滤波后)单独复位","仅pin_rst_n拉低(经500us滤波后)，全局复位拉低","已覆盖：test_rmu_pin_reset用例拉低pin_rst_n并等待滤波窗口后，检查复位输出","覆盖达标标准：滤波后pin_rst_n=0时所有复位输出为0",test_rmu_pin_reset
"2 简介：pin_rst_n和por_rst_n联合复位","TP_RMU_001: 双复位源输入与全局复位生成","TP_RMU_001.03: pin_rst_n和por_rst_n同时复位","两路复位同时拉低，全局复位生效","已覆盖：test_rmu_dual_reset用例同时拉低pin_rst_n和por_rst_n","覆盖达标标准：任意一路复位为低时对应模块复位为低",test_rmu_dual_reset
"3 特点：500us数字滤波","TP_RMU_002: pin_rst_n 500us数字滤波","TP_RMU_002.01: 滤波窗口内短脉冲被滤除","pin_rst_n出现宽度小于500us的低脉冲，滤波器不触发有效复位","已覆盖：test_rmu_filter_glitch用例生成宽度24000cycle的低脉冲，验证pin_filtered_n不变","覆盖达标标准：脉冲宽度<25000cycle时pin_filtered_n保持高电平",test_rmu_filter_glitch
"3 特点：500us数字滤波","TP_RMU_002: pin_rst_n 500us数字滤波","TP_RMU_002.02: 滤波窗口后有效复位触发","pin_rst_n持续低超过500us，滤波器触发有效复位","已覆盖：test_rmu_filter_valid用例生成宽度26000cycle的低脉冲","覆盖达标标准：脉冲宽度>=25000cycle时pin_filtered_n最终拉低",test_rmu_filter_valid
"3 特点：500us数字滤波","TP_RMU_002: pin_rst_n 500us数字滤波","TP_RMU_002.03: 滤波计数重置(毛刺恢复)","滤波进行中pin_rst_n恢复高电平，计数器重置","已覆盖：test_rmu_filter_recovery用例在滤波窗口内恢复pin_rst_n=1","覆盖达标标准：滤波中断后计数器重置，pin_filtered_n保持原值",test_rmu_filter_recovery
"3 特点：各模块独立软复位","TP_RMU_003: 模块独立软复位控制","TP_RMU_003.01: UART软复位","写RMU_SRST[0]=0使UART复位，写1释放","已覆盖：test_rmu_soft_reset_uart用例操作RMU_SRST[0]，监测uart_rst_n","覆盖达标标准：bit[0]=0时uart_rst_n=0，bit[0]=1时uart_rst_n=1",test_rmu_soft_reset_uart
"3 特点：各模块独立软复位","TP_RMU_003: 模块独立软复位控制","TP_RMU_003.02: DSP软复位","写RMU_SRST[1]=0/1控制dsp_rst_n","已覆盖：test_rmu_soft_reset_dsp用例操作RMU_SRST[1]","覆盖达标标准：bit[1]正确控制dsp_rst_n",test_rmu_soft_reset_dsp
"3 特点：各模块独立软复位","TP_RMU_003: 模块独立软复位控制","TP_RMU_003.03: Timer软复位","写RMU_SRST[2]=0/1控制timer_rst_n","已覆盖：test_rmu_soft_reset_timer用例操作RMU_SRST[2]","覆盖达标标准：bit[2]正确控制timer_rst_n",test_rmu_soft_reset_timer
"3 特点：各模块独立软复位","TP_RMU_003: 模块独立软复位控制","TP_RMU_003.04: SRAM软复位","写RMU_SRST[3]=0/1控制sram_rst_n","已覆盖：test_rmu_soft_reset_sram用例操作RMU_SRST[3]","覆盖达标标准：bit[3]正确控制sram_rst_n",test_rmu_soft_reset_sram
