测试点来源（关联设计文档章节）,主测试点（模块核心功能点）,子测试点（主测试点的细分场景）,功能描述（测试点对应的设计行为）,覆盖情况描述（是否覆盖及覆盖方式）,覆盖率分析（未覆盖原因或覆盖达标标准）,对应测试用例
"2 简介：UART全双工异步串行通信115200bps/8N1","TP_UART_001: UART数据发送","TP_UART_001.01: 单字节基本发送0x55","写TXD=0x55，uart_tx产生起始0+01010101+停止1","已覆盖：test_uart_sanity用例写TXD后monitor校验uart_tx波形","覆盖达标标准：uart_tx波形=LSB-first 0x55",test_uart_sanity
"2 简介：全双工","TP_UART_001: UART数据发送","TP_UART_001.02: 遍历全部256种字节发送","发送0x00-0xFF全部256种数据","已覆盖：test_uart_tx_all_bytes用例遍历256字节","覆盖达标标准：256种数据波形全部正确",test_uart_tx_all_bytes
"2 简介：全双工","TP_UART_002: UART数据接收","TP_UART_002.01: 单字节基本接收0xAA","uart_rx输入0xAA波形，验证RXD=0xAA","已覆盖：test_uart_rx_basic用例uart_agent驱动uart_rx","覆盖达标标准：RXD=发送值RX_VALID=1",test_uart_rx_basic
"2 简介：全双工","TP_UART_002: UART数据接收","TP_UART_002.02: 遍历全部256种字节接收","接收0x00-0xFF全部数据","已覆盖：test_uart_rx_all_bytes用例","覆盖达标标准：256种数据全部正确接收",test_uart_rx_all_bytes
"2 简介：全双工","TP_UART_003: 全双工同时收发","TP_UART_003.01: 发送和接收同时进行","同时发送和接收数据互不干扰","已覆盖：test_uart_full_duplex用例同时启动TX和RX","覆盖达标标准：收发各自正确互不干扰",test_uart_full_duplex
"8.1 波特率发生器","TP_UART_004: 波特率配置","TP_UART_004.01: 默认波特率115200@50MHz(BAUD_DIV=433)","复位后BAUD_DIV=433，实际波特率115200","已覆盖：test_uart_baud_default用例读BAUD寄存器+测量位宽","覆盖达标标准：位宽≈434hclk周期",test_uart_baud_default
"8.1 波特率发生器","TP_UART_004: 波特率配置","TP_UART_004.02: 修改波特率为57600","BAUD_DIV=867，验证新波特率","已覆盖：test_uart_baud_change_57600用例","覆盖达标标准：位宽=1/57600",test_uart_baud_change_57600
"8.1 波特率发生器","TP_UART_004: 波特率配置","TP_UART_004.03: 修改波特率为9600","BAUD_DIV=5207，验证新波特率","已覆盖：test_uart_baud_change_9600用例","覆盖达标标准：位宽=1/9600",test_uart_baud_change_9600
"8.3 数据接收：假起始位过滤","TP_UART_005: 接收器抗干扰","TP_UART_005.01: 假起始位(短于半bit)被过滤","驱动短脉冲模拟噪声，验证不被误识别","已覆盖：test_uart_rx_false_start用例驱动假起始脉冲","覆盖达标标准：假起始位被过滤RX不触发",test_uart_rx_false_start
"8.3 数据接收：帧错误","TP_UART_006: 接收错误检测","TP_UART_006.01: FRAME_ERR帧错误(停止位=0)","驱动停止位为0的帧FRAME_ERR=1","已覆盖：test_uart_frame_err用例驱动异常停止位","覆盖达标标准：停止位异常时FRAME_ERR=1",test_uart_frame_err
"8.3 数据接收：溢出","TP_UART_006: 接收错误检测","TP_UART_006.02: RX_OVERFLOW溢出","前数据未读又收到新数据RX_OVERFLOW=1","已覆盖：test_uart_rx_overflow用例连续驱动两帧","覆盖达标标准：第二帧时RX_OVERFLOW=1",test_uart_rx_overflow
"9.1 UART_CTRL寄存器","TP_UART_007: 控制寄存器功能","TP_UART_007.01: TX_EN=0禁止发送","TX_EN=0时写TXD无效","已覆盖：test_uart_tx_disable用例TX_EN=0后写TXD","覆盖达标标准：TX_EN=0时写TXD无波形输出",test_uart_tx_disable
"9.1 UART_CTRL寄存器","TP_UART_007: 控制寄存器功能","TP_UART_007.02: RX_EN=0禁止接收","RX_EN=0时RX不响应","已覆盖：test_uart_rx_disable用例","覆盖达标标准：RX_EN=0时不接收数据",test_uart_rx_disable
"9 寄存器描述","TP_UART_008: 寄存器访问","TP_UART_008.01: 5个UART寄存器读写属性验证","CTRL(RW)/BAUD(RW)/STATUS(RO)/TXD(WO)/RXD(RO)","已覆盖：test_uart_reg_rw用例遍历寄存器","覆盖达标标准：寄存器属性符合设计",test_uart_reg_rw
"6 接口定义：中断","TP_UART_009: 中断输出","TP_UART_009.01: tx_int发送完成中断","发送完成后tx_int脉冲","已覆盖：test_uart_int_tx用例monitor监测tx_int","覆盖达标标准：tx_int与TX_DONE同步",test_uart_int_tx
"6 接口定义","TP_UART_009: 中断输出","TP_UART_009.02: rx_int接收完成中断","接收完成后rx_int脉冲","已覆盖：test_uart_int_rx用例monitor监测rx_int","覆盖达标标准：rx_int与RX_VALID同步",test_uart_int_rx
"10 软件配置流程","TP_UART_010: 完整收发流程","TP_UART_010.01: 初始化→发送→接收→中断处理","按照设计文档10节完整流程","已覆盖：test_uart_full_flow用例完整流程","覆盖达标标准：完整流程无异常数据正确",test_uart_full_flow
